,Rodada,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
109,12,Grêmio FBPA,SC Corinthians,1,1,16,12,4,5,2,5,4,6,12,12,13,12,1,3
110,12,São Paulo FC,CR Vasco da Gama,1,3,11,14,5,4,6,3,4,3,17,18,18,17,0,1
111,12,Atlético Mineiro,SC Internacional,2,0,13,10,6,6,2,2,6,5,14,13,18,14,5,0
112,12,Botafogo FR,Mirassol FC,3,3,15,12,7,5,3,1,6,5,10,17,18,11,1,1
113,12,SE Palmeiras,EC Juventude,4,1,19,8,6,6,0,6,6,0,14,9,9,15,1,0
114,12,Fluminense FC,Ceará SC,1,0,12,6,5,6,0,4,9,3,9,17,17,10,2,2
115,12,Sport Recife,CR Flamengo,1,5,7,36,2,14,7,1,4,15,5,5,5,5,0,1
116,13,CR Flamengo,São Paulo FC,2,0,22,6,4,3,0,8,7,1,8,9,12,9,0,2
117,13,SC Internacional,EC Vitória,1,0,20,11,9,4,4,2,2,5,13,15,15,14,2,1
118,13,CR Vasco da Gama,Botafogo FR,0,2,11,21,3,10,4,5,5,3,13,11,12,14,0,1
119,13,EC Bahia,Atlético Mineiro,2,1,18,10,9,4,1,3,4,7,11,12,12,11,0,0
120,13,SC Corinthians,RB Bragantino,1,2,13,9,3,2,2,6,10,2,14,17,18,16,3,0
121,13,Cruzeiro EC,Grêmio FBPA,4,1,17,11,5,7,1,5,6,3,10,14,14,10,1,1
122,13,Fortaleza EC,Ceará SC,0,1,13,14,5,8,2,0,3,5,13,11,12,13,5,4
123,13,Mirassol FC,Fluminense FC,2,1,11,12,3,7,2,4,5,5,13,12,13,13,3,0
124,13,Santos FC,SE Palmeiras,1,0,17,11,7,6,4,4,8,5,14,10,11,15,0,2
125,14,SE Palmeiras,Mirassol FC,1,1,16,4,8,0,0,2,7,3,16,13,13,17,2,2
126,14,Ceará SC,SC Corinthians,0,1,16,5,8,3,1,2,7,3,12,16,16,12,2,2
127,14,Santos FC,CR Flamengo,1,0,8,10,2,3,5,2,3,8,14,16,16,15,1,0
128,14,Botafogo FR,EC Vitória,0,0,23,8,11,4,1,7,6,5,16,9,10,19,1,1
129,14,RB Bragantino,São Paulo FC,2,2,17,14,7,7,3,1,6,4,17,11,11,18,0,0
130,14,Fluminense FC,Cruzeiro EC,0,2,28,8,16,3,3,7,7,2,12,12,12,13,0,2
131,14,Grêmio FBPA,Fortaleza EC,2,1,10,12,4,5,2,2,2,5,26,22,24,26,0,1
132,14,EC Juventude,CR Vasco da Gama,2,0,10,14,3,8,2,2,1,5,10,9,9,11,3,0
133,14,Atlético Mineiro,Sport Recife,3,1,15,19,3,8,1,2,5,9,8,11,13,8,2,1
134,14,EC Bahia,SC Internacional,1,0,18,9,7,6,2,6,6,5,13,7,9,13,0,1
135,15,Fortaleza EC,EC Bahia,1,1,15,17,8,9,3,1,9,3,6,14,16,6,3,2
136,15,CR Vasco da Gama,Grêmio FBPA,1,1,31,9,12,4,3,6,12,2,14,15,16,15,1,1
137,15,Mirassol FC,Santos FC,3,0,19,8,3,6,0,8,9,2,9,14,16,9,3,2
138,15,São Paulo FC,SC Corinthians,2,0,16,9,7,4,3,1,6,5,7,17,18,9,0,0
139,15,SC Internacional,Ceará SC,1,0,10,9,3,4,2,3,7,5,6,14,14,6,4,5
140,15,Cruzeiro EC,EC Juventude,4,0,16,6,7,4,1,3,8,3,10,15,15,10,1,0
141,15,EC Vitória,RB Bragantino,1,0,9,15,4,8,2,1,2,5,13,15,18,13,2,0
142,15,Sport Recife,Botafogo FR,0,1,12,13,6,7,4,5,6,4,10,12,12,10,1,1
